"id","title","publisher","year","credibility","url","local_file","bytes","status"
"A01","煤矿智能化标准体系建设指南","国家能源局","2024","A","https://zfxxgk.nea.gov.cn/2024-03/13/c_1310768359.htm","D:\chuangye\IntelliSearch\autoclaw_submit\mineintel-application-kg\data\raw_docs\A01_煤矿智能化标准体系建设指南.html","7131","downloaded"
"A02","《煤矿智能化标准体系建设指南》政策解读","国家能源局","2024","A","https://www.nea.gov.cn/2024-03/20/c_1310768368.htm","D:\chuangye\IntelliSearch\autoclaw_submit\mineintel-application-kg\data\raw_docs\A02_《煤矿智能化标准体系建设指南》政策解读.html","12853","downloaded"
"A03","关于深入推进矿山智能化建设促进矿山安全发展的指导意见","国家矿山安全监察局等 7 部门","2024","A","https://www.chinamine-safety.gov.cn/xw/zt/2018zt/mkjqryfyy/gzdt_01/202405/t20240517_488716.shtml","D:\chuangye\IntelliSearch\autoclaw_submit\mineintel-application-kg\data\raw_docs\A03_关于深入推进矿山智能化建设促进矿山安全发展的指导意见.html","26100","downloaded"
"A04","矿山智能化标准体系框架","国家矿山安全监察局","2023","A","https://www.chinamine-safety.gov.cn/xw/zt/2018zt/mkjqryfyy/gzdt_01/202309/t20230907_461905.shtml","D:\chuangye\IntelliSearch\autoclaw_submit\mineintel-application-kg\data\raw_docs\A04_矿山智能化标准体系框架.html","25259","downloaded"
"A05","关于加快煤矿智能化发展的指导意见","国家发展改革委等 8 部门","2020","A","https://www.ndrc.gov.cn/xxgk/zcfb/tz/202007/t20200710_1233536.html","D:\chuangye\IntelliSearch\autoclaw_submit\mineintel-application-kg\data\raw_docs\A05_关于加快煤矿智能化发展的指导意见.html","8309","downloaded"
"A06","《关于加快煤矿智能化发展的指导意见》政策解读","国家发展改革委","2020","A","https://www.ndrc.gov.cn/xxgk/jd/jd/202003/t20200320_1223780.html","D:\chuangye\IntelliSearch\autoclaw_submit\mineintel-application-kg\data\raw_docs\A06_《关于加快煤矿智能化发展的指导意见》政策解读.html","14188","downloaded"
"A07","煤矿智能化建设指南（2021 年版）","国家能源局、国家矿山安全监察局","2021","A/B","https://www.chinamine-safety.gov.cn/xw/zt/2018zt/mkjqryfyy/zyzc/202108/t20210806_395342.shtml","D:\chuangye\IntelliSearch\autoclaw_submit\mineintel-application-kg\data\raw_docs\A07_煤矿智能化建设指南（2021_年版）.html","25246","downloaded"
"A08","有色金属行业智能工厂（矿山）建设指南（试行）解读","工业和信息化部","2020","A","https://www.miit.gov.cn/n6676569/n6676582/art/2020/art_9b4f11d58e9047c3bd81e70ea3819a41.html","D:\chuangye\IntelliSearch\autoclaw_submit\mineintel-application-kg\data\raw_docs\A08_有色金属行业智能工厂（矿山）建设指南（试行）解读.html","41850","downloaded"
"A09","有色金属行业智能矿山建设指南（试行）公告/摘要","国家矿山安全监察局转载","2020","A/B","https://www.chinamine-safety.gov.cn/xw/zt/2018zt/mkjqryfyy/kpbl/202005/t20200522_352738.shtml","D:\chuangye\IntelliSearch\autoclaw_submit\mineintel-application-kg\data\raw_docs\A09_有色金属行业智能矿山建设指南（试行）公告_摘要.html","26825","downloaded"
"A10","有色金属行业智能矿山建设指南 PDF","中国政府网附件","2020","A","https://www.gov.cn/zhengce/zhengceku/2020-05/08/5509729/files/30864cb808b741acb56f33f1cf635ebe.pdf","D:\chuangye\IntelliSearch\autoclaw_submit\mineintel-application-kg\data\raw_docs\A10_有色金属行业智能矿山建设指南_PDF.pdf","592723","downloaded"
"B01","煤矿智能化发展蓝皮书（2025 年）","国家矿山安全监察局矿山智能化建设专家委员会","2025","B/C","https://www.grcc.vip/article-44380-.html","D:\chuangye\IntelliSearch\autoclaw_submit\mineintel-application-kg\data\raw_docs\B01_煤矿智能化发展蓝皮书（2025_年）.html","2055","downloaded"
